theta,radii,z_value
0,150,110
30,150,110
60,150,110
90,150,110
120,150,110
150,150,110
180,150,110
210,150,110
240,150,110
270,150,110
300,150,110
330,150,110
360,150,110
0,130,130
30,130,130
60,130,130
90,130,130
120,130,130
150,130,130
180,130,130
210,130,130
240,130,130
270,130,130
300,130,130
330,130,130
360,130,130
0,110,150
30,110,150
60,110,150
90,110,150
120,110,150
150,110,150
180,110,150
210,110,150
240,110,150
270,110,150
300,110,150
330,110,150
360,110,150
0,90,170
30,90,170
60,90,170
90,90,170
120,90,170
150,90,170
180,90,170
210,90,170
240,90,170
270,90,170
300,90,170
330,90,170
360,90,170
0,50,180
30,50,180
60,50,180
90,50,180
120,50,180
150,50,180
180,50,180
210,50,180
240,50,180
270,50,180
300,50,180
330,50,180
360,50,180
0,30,190
30,30,190
60,30,190
90,30,190
120,30,190
150,30,190
180,30,190
210,30,190
240,30,190
270,30,190
300,30,190
330,30,190
360,30,190
0,0,200
30,0,200
60,0,200
90,0,200
120,0,200
150,0,200
180,0,200
210,0,200
240,0,200
270,0,200
300,0,200
330,0,200
360,0,200
